make_model,body_type,price,vat,km,hp,previous_owners,make,model,body_color,paint_type,gearing_type,displacement,weight,drive_chain,fuel,gears,country_version,cons_combined,cons_city,cons_country,age,upholstery_type,co2_emission,comfort,extras
Audi A1,Sedans,15770,VAT deductible,56013,66.0,2,Audi,A1,Black,Metallic,Automatic,1422.0,1220.0,front,Diesel,7.0,Germany,3.8,4.3,3.5,3,Cloth,99.0,Air conditioning,Bluetooth
Audi A1,Sedans,14500,Price negotiable,80000,141.0,1,Audi,A1,Red,Metallic,Automatic,1798.0,1255.0,front,Benzin,7.0,Germany,5.6,7.1,4.7,2,Cloth,129.0,Air conditioning,Bluetooth
Audi A1,Sedans,14640,VAT deductible,83450,85.0,1,Audi,A1,Black,Metallic,Automatic,1598.0,1135.0,front,Diesel,7.0,Germany,3.8,4.4,3.4,3,Cloth,99.0,Air conditioning,MP3
Audi A1,Sedans,14500,VAT deductible,73000,66.0,1,Audi,A1,Brown,Metallic,Automatic,1422.0,1195.0,front,Diesel,6.0,Germany,3.8,4.3,3.5,3,Cloth,99.0,Air suspension,Bluetooth
Audi A1,Sedans,16790,VAT deductible,16200,66.0,1,Audi,A1,Black,Metallic,Automatic,1422.0,1135.0,front,Diesel,7.0,Germany,4.1,4.6,3.8,3,Cloth,109.0,Air conditioning,Bluetooth
Audi A1,Sedans,15090,VAT deductible,63668,85.0,1,Audi,A1,White,Metallic,Automatic,1598.0,1135.0,front,Diesel,7.0,Germany,3.5,4.3,3.1,3,Part/Full Leather,92.0,Air conditioning,Bluetooth
Audi A1,Station wagon,16422,VAT deductible,62111,85.0,1,Audi,A1,White,Metallic,Automatic,1598.0,1195.0,front,Diesel,7.0,Germany,3.7,4.3,3.4,3,Part/Full Leather,98.0,Air conditioning,Bluetooth
Audi A1,Compact,14480,VAT deductible,14986,66.0,1,Audi,A1,Red,Metallic,Automatic,1422.0,1180.0,front,Diesel,7.0,Germany,3.7,4.2,3.4,3,Cloth,97.0,Air conditioning,CD player
Audi A1,Sedans,16700,VAT deductible,57000,85.0,1,Audi,A1,Grey,Metallic,Automatic,1598.0,1275.0,front,Diesel,7.0,Germany,3.7,4.3,3.4,3,Cloth,97.0,Air conditioning,Radio
Audi A1,Sedans,17990,VAT deductible,16103,70.0,1,Audi,A1,White,Metallic,Automatic,999.0,1135.0,front,Benzin,7.0,Germany,4.6,5.6374270508084345,4.100973465178125,2,Cloth,104.0,Air conditioning,Bluetooth
Audi A1,Sedans,18500,VAT deductible,11300,85.0,1,Audi,A1,Black,Metallic,Automatic,1598.0,1250.0,front,Diesel,7.0,Italy,4.0,4.6,3.6,1,Cloth,105.0,Air conditioning,Bluetooth
Audi A1,Sedans,17990,VAT deductible,26415,92.0,1,Audi,A1,Silver,Uni/basic,Automatic,1395.0,1135.0,front,Benzin,7.0,Germany,4.9,6.2,4.2,3,Cloth,112.0,Air conditioning,CD player
